step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,10_accumulated_waiting_time,10_reward,10_cumulative_rewards,10_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,5_accumulated_waiting_time,5_reward,5_cumulative_rewards,5_cumulative_diff_rewards,6_accumulated_waiting_time,6_reward,6_cumulative_rewards,6_cumulative_diff_rewards,7_accumulated_waiting_time,7_reward,7_cumulative_rewards,7_cumulative_diff_rewards,8_accumulated_waiting_time,8_reward,8_cumulative_rewards,8_cumulative_diff_rewards,9_accumulated_waiting_time,9_reward,9_cumulative_rewards,9_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18975.016869838004,-8.881784197001252e-16,0.0,0.0,18747.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16685.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171395.48541553377,0.0,17139.54854156429
2.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,2.0,18977.016869838004,1.9999999999999991,0.0,0.0,18747.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,2.0,16687.498935991764,2.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171399.48541553377,0.4,17139.948541564292
3.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18747.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171399.48541553377,0.0,17139.948541564292
4.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18747.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171399.48541553377,0.0,17139.948541564292
5.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,2.0,18749.224004363376,1.9999999999999964,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171401.48541553377,0.2,17140.148541564293
6.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18749.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171401.48541553377,0.0,17140.148541564293
7.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18749.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171401.48541553377,0.0,17140.148541564293
8.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18749.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171401.48541553377,0.0,17140.148541564293
9.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18749.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.0,18458.903984756827,-1.7763568394002505e-15,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171401.48541553377,0.0,17140.148541564293
10.0,0.0,0.0,1250579151.0,10030056.96686195,0.0,0.0,7307.820435077103,0.0,0.0,0.0,18977.016869838004,-8.881784197001252e-16,0.0,0.0,18749.224004363376,-3.552713678800501e-15,0.0,0.0,38397.88267043094,-4.440892098500626e-15,0.0,0.5990577645899731,18459.503042521417,0.5990577645899713,0.0,0.0,16687.498935991764,0.0,0.0,0.0,14387.131210224043,0.0,0.0,0.0,3090.9333932309,0.0,0.0,0.0,19791.77036235068,-1.5543122344752192e-15,0.0,0.0,15553.303549270146,-4.440892098500626e-16,0.0,9680.378864997414,171402.08447329837,0.059905776458997306,17140.208447340752
