step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,10_accumulated_waiting_time,10_reward,10_cumulative_rewards,10_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,5_accumulated_waiting_time,5_reward,5_cumulative_rewards,5_cumulative_diff_rewards,6_accumulated_waiting_time,6_reward,6_cumulative_rewards,6_cumulative_diff_rewards,7_accumulated_waiting_time,7_reward,7_cumulative_rewards,7_cumulative_diff_rewards,8_accumulated_waiting_time,8_reward,8_cumulative_rewards,8_cumulative_diff_rewards,9_accumulated_waiting_time,9_reward,9_cumulative_rewards,9_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19592.21410392457,-8.881784197001252e-16,0.0,0.0,19393.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17221.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176909.21463720902,0.0,17690.921463733
2.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,2.0,19594.21410392457,1.9999999999999991,0.0,0.0,19393.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,2.0,17223.518513628856,2.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176913.21463720902,0.4,17691.321463733002
3.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19393.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176913.21463720902,0.0,17691.321463733002
4.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19393.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176913.21463720902,0.0,17691.321463733002
5.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,2.0,19395.825080829072,1.9999999999999967,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176915.21463720902,0.2,17691.521463733003
6.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19395.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176915.21463720902,0.0,17691.521463733003
7.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19395.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176915.21463720902,0.0,17691.521463733003
8.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19395.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176915.21463720902,0.0,17691.521463733003
9.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19395.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,0.0,19082.069763261963,-1.7763568394002505e-15,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176915.21463720902,0.0,17691.521463733003
10.0,0.0,0.0,1254495009.0,10087407.154537315,0.0,0.0,7546.187122132474,0.0,0.0,0.0,19594.21410392457,-8.881784197001252e-16,0.0,0.0,19395.825080829072,-3.3306690738754696e-15,0.0,0.0,39608.97261664437,-4.440892098500626e-15,0.0,2.0,19084.069763261963,1.9999999999999982,0.0,0.0,17223.518513628856,0.0,0.0,0.0,14837.544703242731,0.0,0.0,0.0,3179.0196394153304,0.0,0.0,0.0,20416.314981663734,-1.7763568394002505e-15,0.0,0.0,16031.548112465925,-4.440892098500626e-16,0.0,9934.514151096137,176917.21463720902,0.2,17691.721463733003
