step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,10_stopped,10_accumulated_waiting_time,10_average_speed,10_reward,10_cumulative_rewards,10_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_stopped,3_accumulated_waiting_time,3_average_speed,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_stopped,4_accumulated_waiting_time,4_average_speed,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,5_stopped,5_accumulated_waiting_time,5_average_speed,5_reward,5_cumulative_rewards,5_cumulative_diff_rewards,6_stopped,6_accumulated_waiting_time,6_average_speed,6_reward,6_cumulative_rewards,6_cumulative_diff_rewards,7_stopped,7_accumulated_waiting_time,7_average_speed,7_reward,7_cumulative_rewards,7_cumulative_diff_rewards,8_stopped,8_accumulated_waiting_time,8_average_speed,8_reward,8_cumulative_rewards,8_cumulative_diff_rewards,9_stopped,9_accumulated_waiting_time,9_average_speed,9_reward,9_cumulative_rewards,9_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
11.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.8317382507486928,3.8317382507486926,1.8317382507486928,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,1.7990254559450425,3.7990254559450425,1.7990254559450425,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,20.7648644560487,0.36307637066937354,2.0764864456048695
12.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,20.7648644560487,0.0,2.0764864456048695
13.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,20.7648644560487,0.0,2.0764864456048695
14.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,2.0,3.801726204692782,2.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,22.7648644560487,0.2,2.2764864456048697
15.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,22.7648644560487,0.0,2.2764864456048697
16.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,1.8497801718778524,3.8497801718778524,1.8497801718778524,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,24.61464462792655,0.18497801718778523,2.4614644627926547
17.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,2.0,5.849780171877852,2.0,0,0.0,1.0,0.0,1.8248971829221232,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,26.61464462792655,0.2,2.661464462792655
18.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,2.0,3.824897182922123,2.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,28.61464462792655,0.2,2.861464462792655
19.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,28.61464462792655,0.0,2.861464462792655
20.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,28.61464462792655,0.0,2.861464462792655
21.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,28.61464462792655,0.0,2.861464462792655
22.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,28.61464462792655,0.0,2.861464462792655
23.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.8017262046927824,0.0,0,0.0,1.0,0.0,1.830348818430792,0.0,0,0.0,0.0,28.61464462792655,0.0,2.861464462792655
24.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,2.0,3.801726204692782,2.0,0,0.0,1.0,2.0,3.830348818430792,2.0,0,0.0,0.0,32.614644627926545,0.4,3.261464462792655
25.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.830348818430792,0.0,0,0.0,0.0,32.614644627926545,0.0,3.261464462792655
26.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.830348818430792,0.0,0,0.0,0.0,32.614644627926545,0.0,3.261464462792655
27.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.830348818430792,0.0,0,0.0,0.0,32.614644627926545,0.0,3.261464462792655
28.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.830348818430792,0.0,0,0.0,0.0,32.614644627926545,0.0,3.261464462792655
29.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.830348818430792,0.0,0,0.0,0.0,32.614644627926545,0.0,3.261464462792655
30.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.8317382507486926,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.8754023386164804,0.0,0,0.0,1.0,0.0,5.849780171877852,0.0,0,0.0,1.0,0.0,3.824897182922123,0.0,0,0.0,1.0,0.0,3.7990254559450425,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,3.801726204692782,0.0,0,0.0,1.0,0.0,3.830348818430792,0.0,0,0.0,0.0,32.614644627926545,0.0,3.261464462792655
