episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,1,0,0,11997,7040,12000,7040,1000,640,12000,640,11997,False,0,12,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-26,1682733746,3.5857584476470947,55.57588529586792,47986,gold56.cluster.local,10.13.39.111,55.57588529586792,0,12,77.94419169425964,12000,7040,11997,7040,nan,nan,nan,nan,0,0,[],[],188.231,12000,7040,11997,7040,77.42,21.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,12997,7680,13000,7680,1000,640,13000,640,12997,False,0,13,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-29,1682733749,3.589540958404541,59.16542625427246,47986,gold56.cluster.local,10.13.39.111,59.16542625427246,0,13,77.94419169425964,13000,7680,12997,7680,nan,nan,nan,nan,0,0,[],[],183.391,13000,7680,12997,7680,77.66,21.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,13997,8320,14000,8320,1000,640,14000,640,13997,False,0,14,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-33,1682733753,3.4440672397613525,62.60949349403381,47986,gold56.cluster.local,10.13.39.111,62.60949349403381,0,14,77.94419169425964,14000,8320,13997,8320,nan,nan,nan,nan,0,0,[],[],169.491,14000,8320,13997,8320,77.16,21.2,[],[]
nan,nan,nan,nan,0,0,1,0,0,14997,8960,15000,8960,1000,640,15000,640,14997,False,0,15,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-36,1682733756,3.5409560203552246,66.15044951438904,47986,gold56.cluster.local,10.13.39.111,66.15044951438904,0,15,77.94419169425964,15000,8960,14997,8960,nan,nan,nan,nan,0,0,[],[],171.608,15000,8960,14997,8960,77.7,21.259999999999998,[],[]
nan,nan,nan,nan,0,0,1,0,0,15997,9600,16000,9600,1000,640,16000,640,15997,False,0,16,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-40,1682733760,3.556614875793457,69.7070643901825,47986,gold56.cluster.local,10.13.39.111,69.7070643901825,0,16,77.94419169425964,16000,9600,15997,9600,nan,nan,nan,nan,0,0,[],[],189.418,16000,9600,15997,9600,80.55999999999999,21.3,[],[]
nan,nan,nan,nan,0,0,1,0,0,16997,10240,17000,10240,1000,640,17000,640,16997,False,0,17,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-43,1682733763,3.3777077198028564,73.08477210998535,47986,gold56.cluster.local,10.13.39.111,73.08477210998535,0,17,77.94419169425964,17000,10240,16997,10240,nan,nan,nan,nan,0,0,[],[],177.814,17000,10240,16997,10240,79.8,21.3,[],[]
nan,nan,nan,nan,0,0,1,0,0,17997,10880,18000,10880,1000,640,18000,640,17997,False,0,18,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-47,1682733767,3.8798253536224365,76.96459746360779,47986,gold56.cluster.local,10.13.39.111,76.96459746360779,0,18,77.94419169425964,18000,10880,17997,10880,nan,nan,nan,nan,0,0,[],[],185.315,18000,10880,17997,10880,77.71666666666667,21.36666666666667,[],[]
nan,nan,nan,nan,0,0,1,0,0,18997,11520,19000,11520,1000,640,19000,640,18997,False,0,19,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-51,1682733771,3.6082992553710938,80.57289671897888,47986,gold56.cluster.local,10.13.39.111,80.57289671897888,0,19,77.94419169425964,19000,11520,18997,11520,nan,nan,nan,nan,0,0,[],[],171.281,19000,11520,18997,11520,79.28,21.4,[],[]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,1,0,1,0,0,20000,12160,20000,12160,1000,640,20000,640,20000,False,1,20,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-55,1682733775,4.4334118366241455,85.00630855560303,47986,gold56.cluster.local,10.13.39.111,85.00630855560303,0,20,77.94419169425964,20000,12160,20000,12160,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,1,0,[2307.6533339437583],[20000],268.106,20000,12160,20000,12160,79.26666666666667,21.416666666666668,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,20997,12800,21000,12800,1000,640,21000,640,20997,False,1,21,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-02-59,1682733779,3.378685235977173,88.3849937915802,47986,gold56.cluster.local,10.13.39.111,88.3849937915802,0,21,77.94419169425964,21000,12800,20997,12800,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],168.269,21000,12800,20997,12800,78.86,21.5,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,21997,13440,22000,13440,1000,640,22000,640,21997,False,1,22,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-02,1682733782,3.4156064987182617,91.80060029029846,47986,gold56.cluster.local,10.13.39.111,91.80060029029846,0,22,77.94419169425964,22000,13440,21997,13440,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],174.765,22000,13440,21997,13440,79.11999999999999,21.5,[2307.6533339437583],[20000]
