step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
2.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
3.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
4.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
5.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
6.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
7.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
8.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
9.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
10.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
11.0,0.0,0.0,3320430.0,,0.0,0.0,5876.730401929101,-1.3322676295501878e-15,0.0,0.0,5794.849738714864,0.0,0.0,0.0,5586.652968816281,0.0,0.0,0.0,4981.03745347674,0.0,0.0,1054.9205878327705,22239.270562936985,0.0,5559.817640734295
