step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
2.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
3.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
4.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
5.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
6.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
7.0,0.0,0.0,3660029.0,,0.0,0.0,7381.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27989.91176542479,0.0,6997.4779413562665
8.0,0.0,0.0,3660029.0,,0.0,2.0,7383.39171884121,1.9999999999999982,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27991.91176542479,0.5,6997.9779413562665
9.0,0.0,0.0,3660029.0,,0.0,0.0,7383.39171884121,-1.7763568394002505e-15,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27991.91176542479,0.0,6997.9779413562665
10.0,0.0,0.0,3660029.0,,0.0,1.5592961971178834,7384.951015038328,1.5592961971178816,0.0,0.0,7294.476385718655,0.0,0.0,0.0,7043.675665670204,-2.220446049250313e-16,0.0,0.0,6270.367995194719,0.0,0.0,1253.7858148063006,27993.47106162191,0.38982404927947084,6998.367765405546
