step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
2.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
3.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
4.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
5.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
6.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
7.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
8.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
9.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
10.0,0.0,0.0,3111474.0,,0.0,0.0,5133.650132923426,-1.3322676295501878e-15,0.0,0.0,5072.295265110118,0.0,0.0,0.0,4865.36940545461,0.0,0.0,0.0,4364.931272897265,0.0,0.0,968.5291779447207,19436.246076385418,0.0,4859.0615190963945
