step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
44.0,0.0,0.0,0.0,,0,0.0,23.484475110892063,0.0,9.999317482376803,0.0,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,0.0,19.998634964753606,0.0,9.999317482376803
45.0,0.0,0.0,0.0,,0,0.0,22.25234105470675,0.0,9.999317482376803,0.0,0,0.0,1.0,0.0,9.999317482376803,0.0,0,0.0,0.0,19.998634964753606,0.0,9.999317482376803
46.0,0.0,0.0,0.0,,0,0.0,21.020206998521438,2.0,11.999317482376803,2.0,0,0.0,1.0,2.0,11.999317482376803,2.0,0,0.0,0.0,23.998634964753606,2.0,11.999317482376803
47.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
48.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
49.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
50.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
51.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
52.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
53.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
