step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
2.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
3.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
4.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
5.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
6.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
7.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
8.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
9.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
10.0,0.0,0.0,5907785.0,,0.0,0.0,3487.9422489646204,-8.881784197001252e-16,0.0,0.0,3893.087096110136,0.0,0.0,0.0,3139.3952610550523,-8.881784197001252e-16,0.0,0.0,3072.744760950005,0.0,0.0,506.4886496140324,13593.169367079812,0.0,3398.2923417699567
