episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/0/learner_stats/cur_kl_coeff,info/learner/0/learner_stats/cur_lr,info/learner/0/learner_stats/total_loss,info/learner/0/learner_stats/policy_loss,info/learner/0/learner_stats/vf_loss,info/learner/0/learner_stats/vf_explained_var,info/learner/0/learner_stats/kl,info/learner/0/learner_stats/entropy,info/learner/0/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,1,0,0,43991,43991,44000,44000,4000,4000,44000,4000,43991,False,0,11,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-17-38,1682734658,147.36578607559204,733.3620865345001,290241,gold57.cluster.local,10.13.39.112,733.3620865345001,0,11,107.48522067070007,44000,44000,43991,43991,nan,nan,nan,nan,0,0,[],[],71721.052,435.723,9180.152,2.416,44000,44000,43991,43991,15.15,5.36047619047619,[],[],0.012500000186264515,0.0010000000474974513,0.37155715,-0.004317009,0.3757311,0.07424064,0.011442152,0.6667129,0.0
nan,nan,nan,nan,0,0,1,0,0,47991,47991,48000,48000,4000,4000,48000,4000,47991,False,0,12,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-20-26,1682734826,167.47394514083862,900.8360316753387,290241,gold57.cluster.local,10.13.39.112,900.8360316753387,0,12,107.48522067070007,48000,48000,47991,47991,nan,nan,nan,nan,0,0,[],[],86637.979,433.229,9232.984,2.594,48000,48000,47991,47991,15.243277310924372,5.4,[],[],0.012500000186264515,0.0010000000474974513,0.3674446,-0.001745368,0.36909324,0.09713252,0.0077394443,0.67944986,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,1,0,1,0,0,51991,51991,52000,52000,4000,4000,52000,4000,51991,False,1,13,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-22-07,1682734927,101.29410672187805,1002.1301383972168,290241,gold57.cluster.local,10.13.39.112,1002.1301383972168,0,13,107.48522067070007,52000,52000,51991,51991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,1,0,[2189.0421915233196],[50000],94170.294,428.006,9345.662,2.617,52000,52000,51991,51991,15.25944055944056,5.399999999999999,[2189.0421915233196],[50000],0.012500000186264515,0.0010000000474974513,1.070976,-0.003922215,1.0747656,0.104536414,0.010613329,0.66996574,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,55991,55991,56000,56000,4000,4000,56000,4000,55991,False,1,14,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-22-22,1682734942,14.788478136062622,1016.9186165332794,290241,gold57.cluster.local,10.13.39.112,1016.9186165332794,0,14,107.48522067070007,56000,56000,55991,55991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],92075.034,425.567,9399.221,2.605,56000,56000,55991,55991,15.638095238095234,5.400000000000001,[2189.0421915233196],[50000],0.012500000186264515,0.0010000000474974513,1.9401878,-0.0002267994,1.9404083,0.090404704,0.00048781125,0.6430017,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,59991,59991,60000,60000,4000,4000,60000,4000,59991,False,1,15,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-22-37,1682734957,14.873577356338501,1031.792193889618,290241,gold57.cluster.local,10.13.39.112,1031.792193889618,0,15,107.48522067070007,60000,60000,59991,59991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],88685.426,419.809,9528.149,2.609,60000,60000,59991,59991,15.523809523809524,5.400000000000001,[2189.0421915233196],[50000],0.0062500000931322575,0.0010000000474974513,1.898042,-0.0012882572,1.8992935,0.1020381,0.005868013,0.6218346,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,63991,63991,64000,64000,4000,4000,64000,4000,63991,False,1,16,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-22-52,1682734972,14.798768520355225,1046.5909624099731,290241,gold57.cluster.local,10.13.39.112,1046.5909624099731,0,16,107.48522067070007,64000,64000,63991,63991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],84010.504,417.822,9573.46,2.583,64000,64000,63991,63991,15.476190476190478,5.400000000000001,[2189.0421915233196],[50000],0.0062500000931322575,0.0010000000474974513,1.8809726,-0.0003571667,1.8813152,0.094016284,0.0023485592,0.62122107,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,67991,67991,68000,68000,4000,4000,68000,4000,67991,False,1,17,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-23-07,1682734987,15.205471992492676,1061.7964344024658,290241,gold57.cluster.local,10.13.39.112,1061.7964344024658,0,17,107.48522067070007,68000,68000,67991,67991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],78447.472,417.716,9575.885,2.575,68000,68000,67991,67991,15.409090909090908,5.400000000000002,[2189.0421915233196],[50000],0.0031250000465661287,0.0010000000474974513,1.6320652,-0.0026649863,1.6346939,0.08339859,0.011621014,0.60330164,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,71991,71991,72000,72000,4000,4000,72000,4000,71991,False,1,18,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-23-24,1682735004,16.752277374267578,1078.5487117767334,290241,gold57.cluster.local,10.13.39.112,1078.5487117767334,0,18,107.48522067070007,72000,72000,71991,71991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],71737.991,419.71,9530.385,2.576,72000,72000,71991,71991,15.529166666666669,5.400000000000001,[2189.0421915233196],[50000],0.0031250000465661287,0.0010000000474974513,1.8211772,-0.00028229202,1.8214515,0.12372579,0.0025963942,0.57530755,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,75991,75991,76000,76000,4000,4000,76000,4000,75991,False,1,19,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-23-39,1682735019,15.840256452560425,1094.3889682292938,290241,gold57.cluster.local,10.13.39.112,1094.3889682292938,0,19,107.48522067070007,76000,76000,75991,75991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],63284.872,418.662,9554.237,2.617,76000,76000,75991,75991,15.47272727272727,5.400000000000002,[2189.0421915233196],[50000],0.0015625000232830644,0.0010000000474974513,1.986772,-0.003095117,1.9898592,0.11954148,0.0051434822,0.6007789,0.0
2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,1,0,0,79991,79991,80000,80000,4000,4000,80000,4000,79991,False,1,20,de72d_00000,3b863b0beb92405da9f6e3c45f2101cf,2023-04-29_03-23-55,1682735035,15.725568056106567,1110.1145362854004,290241,gold57.cluster.local,10.13.39.112,1110.1145362854004,0,20,107.48522067070007,80000,80000,79991,79991,2189.0421915233196,2189.0421915233196,2189.0421915233196,50000.0,0,0,[2189.0421915233196],[50000],52406.818,419.877,9526.604,2.678,80000,80000,79991,79991,15.482608695652173,5.400000000000002,[2189.0421915233196],[50000],0.0015625000232830644,0.0010000000474974513,1.7444881,-0.0045004473,1.7489765,0.11556635,0.007886178,0.64069647,0.0
