step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
41,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
42,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
43,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
44,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
45,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
46,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
47,0.0,0.0,0.0,,0,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,2.0,4.0,0.0,2.0
48,0.0,0.0,0.0,,0,0.0,-2.0,2.0,-2.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,-1.0,1.0
49,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
50,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
51,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
52,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
53,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
54,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
55,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
56,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
57,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
58,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
