step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
2.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
3.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
4.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
5.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
6.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
7.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
8.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
9.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
10.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
11.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
12.0,0.0,0.0,15372900.0,,0,0.0,0.0,5164.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10105.11095387848,0.0,5052.555476939239
13.0,0.0,0.0,15372900.0,,0,0.0,2.0,5166.607079842294,1.9999999999999996,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10107.11095387848,1.0,5053.555476939239
14.0,0.0,0.0,15372900.0,,0,0.0,0.0,5166.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10107.11095387848,0.0,5053.555476939239
15.0,0.0,0.0,15372900.0,,0,0.0,0.0,5166.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10107.11095387848,0.0,5053.555476939239
16.0,0.0,0.0,15372900.0,,0,0.0,0.0,5166.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10107.11095387848,0.0,5053.555476939239
17.0,0.0,0.0,15372900.0,,0,0.0,0.0,5166.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10107.11095387848,0.0,5053.555476939239
18.0,0.0,0.0,15372900.0,,0,0.0,0.0,5166.607079842294,-4.440892098500626e-16,0,0.0,0.0,4940.503874036186,0.0,0,0.0,573.7724087515447,10107.11095387848,0.0,5053.555476939239
19.0,0.0,0.0,15372900.0,,0,0.0,2.0,5168.607079842294,1.9999999999999996,0,0.0,2.0,4942.503874036186,2.0,0,0.0,573.7724087515447,10111.11095387848,2.0,5055.555476939239
20.0,0.0,0.0,15372900.0,,0,0.0,2.0,5170.607079842294,1.9999999999999996,0,0.0,0.0,4942.503874036186,0.0,0,0.0,573.7724087515447,10113.11095387848,1.0,5056.555476939239
21.0,0.0,0.0,15372900.0,,0,0.0,2.0,5172.607079842294,1.9999999999999996,0,0.0,0.0,4942.503874036186,0.0,0,0.0,573.7724087515447,10115.11095387848,1.0,5057.555476939239
22.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,0.0,4942.503874036186,0.0,0,0.0,573.7724087515447,10115.11095387848,0.0,5057.555476939239
23.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,0.0,4942.503874036186,0.0,0,0.0,573.7724087515447,10115.11095387848,0.0,5057.555476939239
24.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,0.0,4942.503874036186,0.0,0,0.0,573.7724087515447,10115.11095387848,0.0,5057.555476939239
25.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,2.0,4944.503874036186,2.0,0,0.0,573.7724087515447,10117.11095387848,1.0,5058.555476939239
26.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,2.0,4946.503874036186,2.0,0,0.0,573.7724087515447,10119.11095387848,1.0,5059.555476939239
27.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,2.0,4948.503874036186,2.0,0,0.0,573.7724087515447,10121.11095387848,1.0,5060.555476939239
28.0,0.0,0.0,15372900.0,,0,0.0,0.0,5172.607079842294,-4.440892098500626e-16,0,0.0,0.0,4948.503874036186,0.0,0,0.0,573.7724087515447,10121.11095387848,0.0,5060.555476939239
