step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,50395805.0,,0.0,0.0,15570.047061006406,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30507.688530124105,0.0,15253.84426506214
2.0,0.0,0.0,50395805.0,,0.0,0.0,15570.047061006406,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30507.688530124105,0.0,15253.84426506214
3.0,0.0,0.0,50395805.0,,0.0,0.0,15570.047061006406,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30507.688530124105,0.0,15253.84426506214
4.0,0.0,0.0,50395805.0,,0.0,0.0,15570.047061006406,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30507.688530124105,0.0,15253.84426506214
5.0,0.0,0.0,50395805.0,,0.0,1.2440997591847687,15571.29116076559,1.2440997591847685,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.6220498795923843,15254.466314941732
6.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
7.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
8.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
9.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
10.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
11.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
12.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
13.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
14.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
15.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
16.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
17.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
18.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
19.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
20.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
21.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
22.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
23.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
24.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
25.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
26.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
27.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
28.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
29.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
30.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
31.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
32.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
33.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
34.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
35.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
36.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
37.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
38.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
39.0,0.0,0.0,50395805.0,,0.0,0.0,15571.29116076559,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30508.93262988329,0.0,15254.466314941732
40.0,0.0,0.0,50395805.0,,0.0,1.761529564312139,15573.052690329901,1.7615295643121387,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30510.6941594476,0.8807647821560695,15255.347079723888
41.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30510.6941594476,0.0,15255.347079723888
42.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30510.6941594476,0.0,15255.347079723888
43.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30510.6941594476,0.0,15255.347079723888
44.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30510.6941594476,0.0,15255.347079723888
45.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14937.641469117698,-4.884981308350689e-15,0.0,1534.3406297097658,30510.6941594476,0.0,15255.347079723888
46.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,1.7578091375003082,14939.399278255198,1.7578091375003033,0.0,1534.3406297097658,30512.451968585097,0.8789045687501541,15256.225984292638
47.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
48.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
49.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
50.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
51.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
52.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
53.0,0.0,0.0,50395805.0,,0.0,0.0,15573.052690329901,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30512.451968585097,0.0,15256.225984292638
54.0,0.0,0.0,50395805.0,,0.0,1.075,15574.127690329902,1.0749999999999997,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30513.5269685851,0.5375,15256.763484292638
55.0,0.0,0.0,50395805.0,,0.0,0.0,15574.127690329902,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30513.5269685851,0.0,15256.763484292638
56.0,0.0,0.0,50395805.0,,0.0,0.0,15574.127690329902,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30513.5269685851,0.0,15256.763484292638
57.0,0.0,0.0,50395805.0,,0.0,0.0,15574.127690329902,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30513.5269685851,0.0,15256.763484292638
58.0,0.0,0.0,50395805.0,,0.0,0.0,15574.127690329902,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30513.5269685851,0.0,15256.763484292638
59.0,0.0,0.0,50395805.0,,0.0,0.0,15574.127690329902,-2.220446049250313e-16,0.0,0.0,14939.399278255198,-4.884981308350689e-15,0.0,1534.3406297097658,30513.5269685851,0.0,15256.763484292638
60.0,0.0,0.0,50395805.0,,0.0,2.0,15576.127690329902,1.9999999999999998,0.0,-0.1664730564009958,14939.232805198797,-0.16647305640100069,0.0,1534.5071027661668,30515.3604955287,0.9167634717995021,15257.680247764438
61.0,0.0,0.0,50395805.0,,0.0,0.0,15576.127690329902,-2.220446049250313e-16,0.0,0.0,14939.232805198797,-4.884981308350689e-15,0.0,1534.5071027661668,30515.3604955287,0.0,15257.680247764438
62.0,0.0,0.0,50395805.0,,0.0,0.0,15576.127690329902,-2.220446049250313e-16,0.0,0.0,14939.232805198797,-4.884981308350689e-15,0.0,1534.5071027661668,30515.3604955287,0.0,15257.680247764438
63.0,0.0,0.0,50395805.0,,0.0,0.0,15576.127690329902,-2.220446049250313e-16,0.0,0.0,14939.232805198797,-4.884981308350689e-15,0.0,1534.5071027661668,30515.3604955287,0.0,15257.680247764438
64.0,0.0,0.0,50395805.0,,0.0,0.0,15576.127690329902,-2.220446049250313e-16,0.0,0.0,14939.232805198797,-4.884981308350689e-15,0.0,1534.5071027661668,30515.3604955287,0.0,15257.680247764438
65.0,0.0,0.0,50395805.0,,0.0,0.0,15576.127690329902,-2.220446049250313e-16,0.0,0.0,14939.232805198797,-4.884981308350689e-15,0.0,1534.5071027661668,30515.3604955287,0.0,15257.680247764438
66.0,0.0,0.0,50395805.0,,0.0,2.0,15578.127690329902,1.9999999999999998,0.0,2.0,14941.232805198797,1.9999999999999951,0.0,1534.5071027661668,30519.3604955287,2.0,15259.680247764438
