episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,10999,6400,11000,6400,1000,640,11000,640,10999,False,1,11,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-28,1682717968,5.026707887649536,174.20936512947083,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,174.20936512947083,0,11,11.81150484085083,11000,6400,10999,6400,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],256.813,11000,6400,10999,6400,23.057142857142853,95.10000000000001,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,11999,7040,12000,7040,1000,640,12000,640,11999,False,1,12,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-33,1682717973,5.2003467082977295,179.40971183776855,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,179.40971183776855,0,12,11.81150484085083,12000,7040,11999,7040,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],263.963,12000,7040,11999,7040,23.387500000000003,95.1,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,12999,7680,13000,7680,1000,640,13000,640,12999,False,1,13,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-38,1682717978,4.880328893661499,184.29004073143005,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,184.29004073143005,0,13,11.81150484085083,13000,7680,12999,7680,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],232.101,13000,7680,12999,7680,19.82857142857143,95.05714285714286,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,13999,8320,14000,8320,1000,640,14000,640,13999,False,1,14,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-43,1682717983,5.0501909255981445,189.3402316570282,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,189.3402316570282,0,14,11.81150484085083,14000,8320,13999,8320,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],254.815,14000,8320,13999,8320,23.214285714285715,95.10000000000001,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,14999,8960,15000,8960,1000,640,15000,640,14999,False,1,15,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-48,1682717988,4.948652029037476,194.28888368606567,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,194.28888368606567,0,15,11.81150484085083,15000,8960,14999,8960,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],249.211,15000,8960,14999,8960,22.842857142857145,95.10000000000001,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,15999,9600,16000,9600,1000,640,16000,640,15999,False,1,16,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-53,1682717993,4.69980001449585,198.98868370056152,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,198.98868370056152,0,16,11.81150484085083,16000,9600,15999,9600,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],236.468,16000,9600,15999,9600,24.38571428571429,95.10000000000001,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,16999,10240,17000,10240,1000,640,17000,640,16999,False,1,17,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-39-58,1682717998,5.239579200744629,204.22826290130615,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,204.22826290130615,0,17,11.81150484085083,17000,10240,16999,10240,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],240.7,17000,10240,16999,10240,22.8,95.10000000000001,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,17999,10880,18000,10880,1000,640,18000,640,17999,False,1,18,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-40-04,1682718004,5.822701930999756,210.0509648323059,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,210.0509648323059,0,18,11.81150484085083,18000,10880,17999,10880,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],303.852,18000,10880,17999,10880,22.744444444444444,95.1,[1352.6188721484543],[10000]
1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,1,0,0,18999,11520,19000,11520,1000,640,19000,640,18999,False,1,19,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-40-10,1682718010,5.780473232269287,215.8314380645752,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,215.8314380645752,0,19,11.81150484085083,19000,11520,18999,11520,1352.6188721484543,1352.6188721484543,1352.6188721484543,10000.0,0,0,[1352.6188721484543],[10000],258.356,19000,11520,18999,11520,22.3125,95.1,[1352.6188721484543],[10000]
1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,1,0,1,0,0,20000,12160,20000,12160,1000,640,20000,640,20000,False,2,20,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-40-17,1682718017,6.829230785369873,222.66066884994507,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,222.66066884994507,0,20,11.81150484085083,20000,12160,20000,12160,1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,1,0,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]",399.075,20000,12160,20000,12160,21.48,95.16000000000001,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]"
1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,0,0,1,0,0,20999,12800,21000,12800,1000,640,21000,640,20999,False,2,21,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-40-22,1682718022,5.753254175186157,228.41392302513123,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,228.41392302513123,0,21,11.81150484085083,21000,12800,20999,12800,1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,0,0,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]",336.201,21000,12800,20999,12800,23.425,95.1,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]"
1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,0,0,1,0,0,21999,13440,22000,13440,1000,640,22000,640,21999,False,2,22,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-40-29,1682718029,6.1523659229278564,234.56628894805908,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,234.56628894805908,0,22,11.81150484085083,22000,13440,21999,13440,1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,0,0,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]",297.729,22000,13440,21999,13440,23.91111111111111,95.1,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]"
1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,0,0,1,0,0,22999,14080,23000,14080,1000,640,23000,640,22999,False,2,23,b32dd_00000,1885a882237341a2875ccbc0ab8c0079,2023-04-28_22-40-36,1682718036,7.0464441776275635,241.61273312568665,9815,Rorys-MacBook-Pro-14.local,127.0.0.1,241.61273312568665,0,23,11.81150484085083,23000,14080,22999,14080,1357.603998742472,1352.6188721484543,1355.111435445463,10000.0,0,0,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]",369.751,23000,14080,22999,14080,21.959999999999997,95.1,"[1352.6188721484543, 1357.603998742472]","[10000, 10000]"
