step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,57522244.0,,0.0,0.0,23380.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45840.121441762065,0.0,22920.060720880774
2.0,0.0,0.0,57522244.0,,0.0,0.0,23380.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45840.121441762065,0.0,22920.060720880774
3.0,0.0,0.0,57522244.0,,0.0,2.0,23382.35227604919,1.9999999999999991,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45842.121441762065,1.0,22921.060720880774
4.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45842.121441762065,0.0,22921.060720880774
5.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45842.121441762065,0.0,22921.060720880774
6.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45842.121441762065,0.0,22921.060720880774
7.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45842.121441762065,0.0,22921.060720880774
8.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22459.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45842.121441762065,0.0,22921.060720880774
9.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,2.0,22461.769165712874,1.9999999999999996,0.0,1647.4724156412956,45844.121441762065,1.0,22922.060720880774
10.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
11.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
12.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
13.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
14.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
15.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
16.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
17.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
18.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
19.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
20.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
21.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
22.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
23.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
24.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
25.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
26.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
27.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
28.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
29.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
30.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
31.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
32.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
33.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
34.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
35.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
36.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
37.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
38.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
39.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
40.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
41.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
42.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
43.0,0.0,0.0,57522244.0,,0.0,0.0,23382.35227604919,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.121441762065,0.0,22922.060720880774
44.0,0.0,0.0,57522244.0,,0.0,0.6657061733623596,23383.017982222555,0.6657061733623587,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.4724156412956,45844.78714793543,0.3328530866811798,22922.393573967456
45.0,0.0,0.0,57522244.0,,0.0,-0.2328871934770069,23382.785095029078,-0.23288719347700781,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,-0.11644359673850345,22922.277130370716
46.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
47.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
48.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
49.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
50.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
51.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
52.0,0.0,0.0,57522244.0,,0.0,0.0,23382.785095029078,-9.159339953157541e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45844.55426074195,0.0,22922.277130370716
53.0,0.0,0.0,57522244.0,,0.0,2.0,23384.785095029078,1.9999999999999991,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45846.55426074195,1.0,22923.277130370716
54.0,0.0,0.0,57522244.0,,0.0,0.0,23384.785095029078,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45846.55426074195,0.0,22923.277130370716
55.0,0.0,0.0,57522244.0,,0.0,2.0,23386.785095029078,1.9999999999999991,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45848.55426074195,1.0,22924.277130370716
56.0,0.0,0.0,57522244.0,,0.0,0.0,23386.785095029078,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45848.55426074195,0.0,22924.277130370716
57.0,0.0,0.0,57522244.0,,0.0,0.0,23386.785095029078,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45848.55426074195,0.0,22924.277130370716
58.0,0.0,0.0,57522244.0,,0.0,0.0,23386.785095029078,-8.881784197001252e-16,0.0,0.0,22461.769165712874,-4.440892098500626e-16,0.0,1647.7053028347725,45848.55426074195,0.0,22924.277130370716
