step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
2.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
3.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
4.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
5.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
6.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
7.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
8.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
9.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
10.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
11.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
12.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
13.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
14.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
15.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
16.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11601.431310897084,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47271.31715709072,0.0,11817.829289272715
17.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.8935166631756033,11602.32482756026,0.8935166631756011,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47272.2106737539,0.22337916579390082,11818.05266843851
18.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11602.32482756026,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47272.2106737539,0.0,11818.05266843851
19.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11602.32482756026,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47272.2106737539,0.0,11818.05266843851
20.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11602.32482756026,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47272.2106737539,0.0,11818.05266843851
21.0,0.0,0.0,5224610.0,,0.0,0.0,12424.58479388855,-4.440892098500626e-16,0.0,0.0,12099.68485164955,-1.7763568394002505e-15,0.0,0.0,11602.32482756026,-2.220446049250313e-15,0.0,0.0,11145.616200655539,-1.1102230246251565e-15,0.0,1906.1293673070306,47272.2106737539,0.0,11818.05266843851
