step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
2.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
3.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
4.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
5.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
6.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
7.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
8.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
9.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
10.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
11.0,0.0,0.0,291578436.0,,0.0,0.0,19428.542102618674,-2.6645352591003757e-15,0.0,0.0,23335.082736134573,-2.6645352591003757e-15,0.0,0.0,24111.176567589733,-8.881784197001252e-16,0.0,0.0,22487.258241233492,-1.3322676295501878e-15,0.0,7105.0243271224945,89362.05964757646,0.0,22340.514911894268
