step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
2.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
3.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
4.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
5.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
6.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
7.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
8.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
9.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
10.0,0.0,0.0,282188597.0,,0.0,0.0,19006.967477399863,-2.6645352591003757e-15,0.0,0.0,22830.054478526956,-2.6645352591003757e-15,0.0,0.0,23583.575806322162,-8.881784197001252e-16,0.0,0.0,22000.259528420916,-1.3322676295501878e-15,0.0,6931.706261178677,87420.8572906699,0.0,21855.214322667605
