step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,10_accumulated_waiting_time,10_reward,10_cumulative_rewards,10_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,5_accumulated_waiting_time,5_reward,5_cumulative_rewards,5_cumulative_diff_rewards,6_accumulated_waiting_time,6_reward,6_cumulative_rewards,6_cumulative_diff_rewards,7_accumulated_waiting_time,7_reward,7_cumulative_rewards,7_cumulative_diff_rewards,8_accumulated_waiting_time,8_reward,8_cumulative_rewards,8_cumulative_diff_rewards,9_accumulated_waiting_time,9_reward,9_cumulative_rewards,9_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8688.805980994239,-4.440892098500626e-16,0.0,0.0,6667.232235902736,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5576.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64796.392524378694,0.0,6479.639252436095
2.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,2.0,8690.805980994239,1.9999999999999996,0.0,0.0,6667.232235902736,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,2.0,5578.0210834684385,1.9999999999999998,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64800.392524378694,0.4,6480.039252436095
3.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6667.232235902736,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64800.392524378694,0.0,6480.039252436095
4.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6667.232235902736,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64800.392524378694,0.0,6480.039252436095
5.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,1.2699898077097485,6668.502225710446,1.2699898077097478,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64801.662514186406,0.12699898077097485,6480.166251416866
6.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6668.502225710446,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64801.662514186406,0.0,6480.166251416866
7.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6668.502225710446,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64801.662514186406,0.0,6480.166251416866
8.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6668.502225710446,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64801.662514186406,0.0,6480.166251416866
9.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6668.502225710446,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,0.0,8609.071182480198,8.881784197001252e-16,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64801.662514186406,0.0,6480.166251416866
10.0,0.0,0.0,19011146.0,232085.86628944756,0.0,0.0,2484.2951740674102,0.0,0.0,0.0,8690.805980994239,-4.440892098500626e-16,0.0,0.0,6668.502225710446,-6.661338147750939e-16,0.0,0.0,14023.516344008849,-2.220446049250313e-16,0.0,2.0,8611.071182480198,2.000000000000001,0.0,0.0,5578.0210834684385,-2.220446049250313e-16,0.0,0.0,4863.080855301701,-2.220446049250313e-16,0.0,0.0,1351.6108540193604,0.0,0.0,0.0,7394.00367857143,-4.440892098500626e-16,0.0,0.0,5138.755135564331,0.0,0.0,1917.532089983972,64803.662514186406,0.2,6480.366251416865
