step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,10_accumulated_waiting_time,10_reward,10_cumulative_rewards,10_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,5_accumulated_waiting_time,5_reward,5_cumulative_rewards,5_cumulative_diff_rewards,6_accumulated_waiting_time,6_reward,6_cumulative_rewards,6_cumulative_diff_rewards,7_accumulated_waiting_time,7_reward,7_cumulative_rewards,7_cumulative_diff_rewards,8_accumulated_waiting_time,8_reward,8_cumulative_rewards,8_cumulative_diff_rewards,9_accumulated_waiting_time,9_reward,9_cumulative_rewards,9_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4187.41741713237,0.0,0.0,0.0,3176.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2697.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31383.42587805376,0.0,3138.3425878051844
2.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,1.3267628370899929,4188.744179969461,1.3267628370899929,0.0,0.0,3176.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,2.0,2699.3392809434963,1.9999999999999998,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31386.752640890856,0.33267628370899927,3138.6752640888935
3.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3176.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31386.752640890856,0.0,3138.6752640888935
4.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3176.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31386.752640890856,0.0,3138.6752640888935
5.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,2.0,3178.4293555568497,1.9999999999999996,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31388.752640890856,0.2,3138.8752640888933
6.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3178.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31388.752640890856,0.0,3138.8752640888933
7.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3178.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31388.752640890856,0.0,3138.8752640888933
8.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3178.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31388.752640890856,0.0,3138.8752640888933
9.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3178.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31388.752640890856,0.0,3138.8752640888933
10.0,0.0,0.0,12010197.0,136194.78624200818,0.0,0.0,1186.3078802989223,0.0,0.0,0.0,4188.744179969461,0.0,0.0,0.0,3178.4293555568497,-4.440892098500626e-16,0.0,0.0,6817.85582088602,0.0,0.0,0.0,4220.431691868236,8.881784197001252e-16,0.0,0.0,2699.3392809434963,-2.220446049250313e-16,0.0,0.0,2354.9985052338243,0.0,0.0,0.0,679.354964737422,0.0,0.0,0.0,3577.821607844566,0.0,0.0,0.0,2485.4693535520573,0.0,0.0,1341.5746927900504,31388.752640890856,0.0,3138.8752640888933
