episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/0/learner_stats/cur_kl_coeff,info/learner/0/learner_stats/cur_lr,info/learner/0/learner_stats/total_loss,info/learner/0/learner_stats/policy_loss,info/learner/0/learner_stats/vf_loss,info/learner/0/learner_stats/vf_explained_var,info/learner/0/learner_stats/kl,info/learner/0/learner_stats/entropy,info/learner/0/learner_stats/entropy_coeff
1315.7505402387976,-20.349302417636608,908.4831386482383,10000.0,0,0,1,0,0,43999,43999,44000,44000,4000,4000,44000,4000,43999,False,4,11,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-56-42,1682733402,9.779167413711548,140.38963055610657,72240,gold54.cluster.local,10.13.39.109,140.38963055610657,0,11,124.55943942070007,44000,44000,43999,43999,1315.7505402387976,-20.349302417636608,908.4831386482383,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976]","[10000, 10000, 10000, 10000]",12425.621,431.763,9264.341,2.503,44000,44000,43999,43999,84.63571428571429,9.107142857142856,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976]","[10000, 10000, 10000, 10000]",0.00937500037252903,0.0010000000474974513,1.5560614,0.00029254425,1.5557425,0.093656145,0.002796265,0.5743283,0.0
1315.7505402387976,-20.349302417636608,908.4831386482383,10000.0,0,0,1,0,0,47999,47999,48000,48000,4000,4000,48000,4000,47999,False,4,12,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-56-52,1682733412,10.230557680130005,150.62018823623657,72240,gold54.cluster.local,10.13.39.109,150.62018823623657,0,12,124.55943942070007,48000,48000,47999,47999,1315.7505402387976,-20.349302417636608,908.4831386482383,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976]","[10000, 10000, 10000, 10000]",11703.939,429.846,9305.65,2.481,48000,48000,47999,47999,83.97333333333334,9.133333333333333,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976]","[10000, 10000, 10000, 10000]",0.004687500186264515,0.0010000000474974513,2.3249748,-0.00032193493,2.3252823,0.09382559,0.0030423817,0.5603652,0.0
1453.4785192419326,-20.349302417636608,1017.4822147669772,10000.0,1,0,1,0,0,51999,51999,52000,52000,4000,4000,52000,4000,51999,False,5,13,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-57-03,1682733423,10.88696002960205,161.50714826583862,72240,gold54.cluster.local,10.13.39.109,161.50714826583862,0,13,124.55943942070007,52000,52000,51999,51999,1453.4785192419326,-20.349302417636608,1017.4822147669772,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326]","[10000, 10000, 10000, 10000, 10000]",11244.888,431.761,9264.393,2.471,52000,52000,51999,51999,84.1,9.146666666666667,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326]","[10000, 10000, 10000, 10000, 10000]",0.0023437500931322575,0.0010000000474974513,1.9336704,-0.0012684048,1.9349283,0.097722515,0.004497171,0.6116932,0.0
1453.4785192419326,-20.349302417636608,1017.4822147669772,10000.0,0,0,1,0,0,55999,55999,56000,56000,4000,4000,56000,4000,55999,False,5,14,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-57-13,1682733433,10.312113523483276,171.8192617893219,72240,gold54.cluster.local,10.13.39.109,171.8192617893219,0,14,124.55943942070007,56000,56000,55999,55999,1453.4785192419326,-20.349302417636608,1017.4822147669772,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326]","[10000, 10000, 10000, 10000, 10000]",11010.47,442.895,9031.483,2.497,56000,56000,55999,55999,84.74,9.12,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326]","[10000, 10000, 10000, 10000, 10000]",0.0011718750465661287,0.0010000000474974513,2.2084205,-0.0011751851,2.2095904,0.098021336,0.0044008815,0.5952913,0.0
1511.2760041483566,-20.349302417636608,1099.7811796638737,10000.0,1,0,1,0,0,60000,60000,60000,60000,4000,4000,60000,4000,60000,False,6,15,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-57-25,1682733445,11.423290014266968,183.24255180358887,72240,gold54.cluster.local,10.13.39.109,183.24255180358887,0,15,124.55943942070007,60000,60000,60000,60000,1511.2760041483566,-20.349302417636608,1099.7811796638737,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566]","[10000, 10000, 10000, 10000, 10000, 10000]",10729.188,445.098,8986.784,2.447,60000,60000,60000,60000,82.55625,9.1125,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566]","[10000, 10000, 10000, 10000, 10000, 10000]",0.0005859375232830644,0.0010000000474974513,2.0237,-0.0011406208,2.024838,0.09840642,0.0045548296,0.61152166,0.0
1511.2760041483566,-20.349302417636608,1099.7811796638737,10000.0,0,0,1,0,0,63999,63999,64000,64000,4000,4000,64000,4000,63999,False,6,16,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-57-35,1682733455,10.201496362686157,193.44404816627502,72240,gold54.cluster.local,10.13.39.109,193.44404816627502,0,16,124.55943942070007,64000,64000,63999,63999,1511.2760041483566,-20.349302417636608,1099.7811796638737,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566]","[10000, 10000, 10000, 10000, 10000, 10000]",10790.401,447.016,8948.217,2.442,64000,64000,63999,63999,84.1,9.113333333333332,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566]","[10000, 10000, 10000, 10000, 10000, 10000]",0.0002929687616415322,0.0010000000474974513,2.1050925,-0.00078373105,2.1058745,0.09884001,0.0066532223,0.58393705,0.0
1511.2760041483566,-20.349302417636608,1099.7811796638737,10000.0,0,0,1,0,0,67999,67999,68000,68000,4000,4000,68000,4000,67999,False,6,17,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-57-45,1682733465,10.456562042236328,203.90061020851135,72240,gold54.cluster.local,10.13.39.109,203.90061020851135,0,17,124.55943942070007,68000,68000,67999,67999,1511.2760041483566,-20.349302417636608,1099.7811796638737,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566]","[10000, 10000, 10000, 10000, 10000, 10000]",10674.906,451.766,8854.146,2.541,68000,68000,67999,67999,87.25333333333333,9.126666666666665,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566]","[10000, 10000, 10000, 10000, 10000, 10000]",0.0002929687616415322,0.0010000000474974513,2.4281516,0.0027169362,2.4254317,0.10063493,0.010216156,0.5380208,0.0
1582.8108828636439,-20.349302417636608,1168.7854229781267,10000.0,1,0,1,0,0,71999,71999,72000,72000,4000,4000,72000,4000,71999,False,7,18,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-57-57,1682733477,11.944099426269531,215.84470963478088,72240,gold54.cluster.local,10.13.39.109,215.84470963478088,0,18,124.55943942070007,72000,72000,71999,71999,1582.8108828636439,-20.349302417636608,1168.7854229781267,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566, 1582.8108828636439]","[10000, 10000, 10000, 10000, 10000, 10000, 10000]",10575.817,453.032,8829.392,2.533,72000,72000,71999,71999,88.3529411764706,9.117647058823529,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566, 1582.8108828636439]","[10000, 10000, 10000, 10000, 10000, 10000, 10000]",0.0002929687616415322,0.0010000000474974513,2.334507,-0.0008784126,2.3353848,0.0977842,0.0019250205,0.53191155,0.0
1582.8108828636439,-20.349302417636608,1168.7854229781267,10000.0,0,0,1,0,0,75999,75999,76000,76000,4000,4000,76000,4000,75999,False,7,19,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-58-08,1682733488,10.51690149307251,226.3616111278534,72240,gold54.cluster.local,10.13.39.109,226.3616111278534,0,19,124.55943942070007,76000,76000,75999,75999,1582.8108828636439,-20.349302417636608,1168.7854229781267,10000.0,0,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566, 1582.8108828636439]","[10000, 10000, 10000, 10000, 10000, 10000, 10000]",10635.062,456.556,8761.246,2.541,76000,76000,75999,75999,87.65333333333335,9.12,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566, 1582.8108828636439]","[10000, 10000, 10000, 10000, 10000, 10000, 10000]",0.0001464843808207661,0.0010000000474974513,2.01045,-0.00064581574,2.0110955,0.102383636,0.0025590858,0.5467989,0.0
1582.8108828636439,-20.349302417636608,1214.4477705513182,10000.0,1,0,1,0,0,80000,80000,80000,80000,4000,4000,80000,4000,80000,False,8,20,3421a_00000,fe470e08c35e4ae7b49568e389aeacc1,2023-04-29_02-58-20,1682733500,12.008820533752441,238.37043166160583,72240,gold54.cluster.local,10.13.39.109,238.37043166160583,0,20,124.55943942070007,80000,80000,80000,80000,1582.8108828636439,-20.349302417636608,1214.4477705513182,10000.0,1,0,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566, 1582.8108828636439, 1534.0842035636588]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]",10771.108,456.448,8763.314,2.547,80000,80000,80000,80000,86.21176470588235,9.152941176470586,"[-20.349302417636608, 1288.5082245881551, 1050.023092183637, 1315.7505402387976, 1453.4785192419326, 1511.2760041483566, 1582.8108828636439, 1534.0842035636588]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]",7.324219041038305e-05,0.0010000000474974513,1.6109959,-0.0029790595,1.6139746,0.098698966,0.0062589934,0.5136994,0.0
