step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,3_accumulated_waiting_time,3_reward,3_cumulative_rewards,3_cumulative_diff_rewards,4_accumulated_waiting_time,4_reward,4_cumulative_rewards,4_cumulative_diff_rewards,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
1.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
2.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
3.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
4.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
5.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
6.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
7.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
8.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
9.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
10.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
11.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
12.0,0.0,0.0,208340413.0,,0.0,0.0,11286.120165953842,-4.440892098500626e-16,0.0,0.0,11238.985538227995,-2.220446049250313e-15,0.0,0.0,10459.470635167763,-8.881784197001252e-16,0.0,0.0,9670.779038423234,0.0,0.0,1558.2135978446336,42655.35537777284,0.0,10663.838844443233
